movie_id,title,genres,id,year,clean_title,average_rating,ratings_count
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1,1995.0,Toy Story,3.9209302325581397,215
2,Jumanji (1995),Adventure|Children|Fantasy,2,1995.0,Jumanji,3.4318181818181817,110
3,Grumpier Old Men (1995),Comedy|Romance,3,1995.0,Grumpier Old Men,3.2596153846153846,52
4,Waiting to Exhale (1995),Comedy|Drama|Romance,4,1995.0,Waiting to Exhale,2.357142857142857,7
5,Father of the Bride Part II (1995),Comedy,5,1995.0,Father of the Bride Part II,3.0714285714285716,49
6,Heat (1995),Action|Crime|Thriller,6,1995.0,Heat,3.946078431372549,102
7,Sabrina (1995),Comedy|Romance,7,1995.0,Sabrina,3.185185185185185,54
8,Tom and Huck (1995),Adventure|Children,8,1995.0,Tom and Huck,2.875,8
9,Sudden Death (1995),Action,9,1995.0,Sudden Death,3.125,16
10,GoldenEye (1995),Action|Adventure|Thriller,10,1995.0,GoldenEye,3.496212121212121,132
11,"American President, The (1995)",Comedy|Drama|Romance,11,1995.0,"American President, The",3.6714285714285713,70
12,Dracula: Dead and Loving It (1995),Comedy|Horror,12,1995.0,Dracula: Dead and Loving It,2.4210526315789473,19
13,Balto (1995),Adventure|Animation|Children,13,1995.0,Balto,3.125,8
14,Nixon (1995),Drama,14,1995.0,Nixon,3.8333333333333335,18
15,Cutthroat Island (1995),Action|Adventure|Romance,15,1995.0,Cutthroat Island,3.0,13
16,Casino (1995),Crime|Drama,16,1995.0,Casino,3.926829268292683,82
17,Sense and Sensibility (1995),Drama|Romance,17,1995.0,Sense and Sensibility,3.7761194029850746,67
18,Four Rooms (1995),Comedy,18,1995.0,Four Rooms,3.7,20
19,Ace Ventura: When Nature Calls (1995),Comedy,19,1995.0,Ace Ventura: When Nature Calls,2.727272727272727,88
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,20,1995.0,Money Train,2.5,15
21,Get Shorty (1995),Comedy|Crime|Thriller,21,1995.0,Get Shorty,3.49438202247191,89
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,22,1995.0,Copycat,3.2222222222222223,36
23,Assassins (1995),Action|Crime|Thriller,23,1995.0,Assassins,3.125,16
24,Powder (1995),Drama|Sci-Fi,24,1995.0,Powder,3.125,28
25,Leaving Las Vegas (1995),Drama|Romance,25,1995.0,Leaving Las Vegas,3.625,76
26,Othello (1995),Drama,26,1995.0,Othello,3.5,13
27,Now and Then (1995),Children|Drama,27,1995.0,Now and Then,3.3333333333333335,9
28,Persuasion (1995),Drama|Romance,28,1995.0,Persuasion,4.2272727272727275,11
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,29,1995.0,"City of Lost Children, The (Cité des enfants perdus, La)",4.0131578947368425,38
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,30,1995.0,Shanghai Triad (Yao a yao yao dao waipo qiao),3.0,3
31,Dangerous Minds (1995),Drama,31,1995.0,Dangerous Minds,3.1842105263157894,38
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,32,1995.0,Twelve Monkeys (a.k.a. 12 Monkeys),3.983050847457627,177
34,Babe (1995),Children|Drama,34,1995.0,Babe,3.65234375,128
36,Dead Man Walking (1995),Crime|Drama,36,1995.0,Dead Man Walking,3.8358208955223883,67
38,It Takes Two (1995),Children|Comedy,38,1995.0,It Takes Two,2.125,4
39,Clueless (1995),Comedy|Romance,39,1995.0,Clueless,3.293269230769231,104
40,"Cry, the Beloved Country (1995)",Drama,40,1995.0,"Cry, the Beloved Country",4.25,2
41,Richard III (1995),Drama|War,41,1995.0,Richard III,3.7,15
42,Dead Presidents (1995),Action|Crime|Drama,42,1995.0,Dead Presidents,3.0,7
43,Restoration (1995),Drama,43,1995.0,Restoration,3.1875,8
44,Mortal Kombat (1995),Action|Adventure|Fantasy,44,1995.0,Mortal Kombat,2.5434782608695654,46
45,To Die For (1995),Comedy|Drama|Thriller,45,1995.0,To Die For,3.3125,32
46,How to Make an American Quilt (1995),Drama|Romance,46,1995.0,How to Make an American Quilt,3.066666666666667,15
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,47,1995.0,Seven (a.k.a. Se7en),3.9753694581280787,203
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,48,1995.0,Pocahontas,3.1470588235294117,68
49,When Night Is Falling (1995),Drama|Romance,49,1995.0,When Night Is Falling,3.0,1
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,50,1995.0,"Usual Suspects, The",4.237745098039215,204
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,52,1995.0,Mighty Aphrodite,3.4642857142857144,28
53,Lamerica (1994),Adventure|Drama,53,1994.0,Lamerica,5.0,2
54,"Big Green, The (1995)",Children|Comedy,54,1995.0,"Big Green, The",2.3333333333333335,3
55,Georgia (1995),Drama,55,1995.0,Georgia,4.0,1
57,Home for the Holidays (1995),Drama,57,1995.0,Home for the Holidays,3.0625,8
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,58,1994.0,"Postman, The (Postino, Il)",4.027027027027027,37
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,60,1995.0,"Indian in the Cupboard, The",3.235294117647059,34
61,Eye for an Eye (1996),Drama|Thriller,61,1996.0,Eye for an Eye,3.75,6
62,Mr. Holland's Opus (1995),Drama,62,1995.0,Mr. Holland's Opus,3.70625,80
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,63,1996.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,2.7142857142857144,7
64,Two if by Sea (1996),Comedy|Romance,64,1996.0,Two if by Sea,2.2,5
65,Bio-Dome (1996),Comedy,65,1996.0,Bio-Dome,2.532258064516129,31
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,66,1996.0,Lawnmower Man 2: Beyond Cyberspace,2.5,9
68,French Twist (Gazon maudit) (1995),Comedy|Romance,68,1995.0,French Twist (Gazon maudit),3.4,5
69,Friday (1995),Comedy,69,1995.0,Friday,3.775,20
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,70,1996.0,From Dusk Till Dawn,3.5090909090909093,55
71,Fair Game (1995),Action,71,1995.0,Fair Game,1.7,5
72,Kicking and Screaming (1995),Comedy|Drama,72,1995.0,Kicking and Screaming,3.2142857142857144,7
73,"Misérables, Les (1995)",Drama|War,73,1995.0,"Misérables, Les",3.4615384615384617,13
74,Bed of Roses (1996),Drama|Romance,74,1996.0,Bed of Roses,4.0,8
75,Big Bully (1996),Comedy|Drama,75,1996.0,Big Bully,2.2,5
76,Screamers (1995),Action|Sci-Fi|Thriller,76,1995.0,Screamers,3.4,15
77,Nico Icon (1995),Documentary,77,1995.0,Nico Icon,4.0,1
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,78,1995.0,"Crossing Guard, The",3.3333333333333335,3
79,"Juror, The (1996)",Drama|Thriller,79,1996.0,"Juror, The",2.764705882352941,17
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,80,1995.0,"White Balloon, The (Badkonake sefid)",4.0,2
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,81,1995.0,Things to Do in Denver When You're Dead,3.107142857142857,14
82,Antonia's Line (Antonia) (1995),Comedy|Drama,82,1995.0,Antonia's Line (Antonia),3.875,8
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,83,1995.0,Once Upon a Time... When We Were Colored,3.0,1
85,Angels and Insects (1995),Drama|Romance,85,1995.0,Angels and Insects,3.857142857142857,7
86,White Squall (1996),Action|Adventure|Drama,86,1996.0,White Squall,3.966666666666667,15
87,Dunston Checks In (1996),Children|Comedy,87,1996.0,Dunston Checks In,2.5,7
88,Black Sheep (1996),Comedy,88,1996.0,Black Sheep,3.15625,16
89,Nick of Time (1995),Action|Thriller,89,1995.0,Nick of Time,3.25,10
92,Mary Reilly (1996),Drama|Horror|Thriller,92,1996.0,Mary Reilly,2.625,8
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,93,1995.0,Vampire in Brooklyn,2.8333333333333335,9
94,Beautiful Girls (1996),Comedy|Drama|Romance,94,1996.0,Beautiful Girls,3.95,10
95,Broken Arrow (1996),Action|Adventure|Thriller,95,1996.0,Broken Arrow,3.0238095238095237,84
96,In the Bleak Midwinter (1995),Comedy|Drama,96,1995.0,In the Bleak Midwinter,3.5,1
97,"Hate (Haine, La) (1995)",Crime|Drama,97,1995.0,"Hate (Haine, La)",3.9,10
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,99,1995.0,Heidi Fleiss: Hollywood Madam,5.0,2
100,City Hall (1996),Drama|Thriller,100,1996.0,City Hall,2.7857142857142856,14
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,101,1996.0,Bottle Rocket,3.782608695652174,23
102,Mr. Wrong (1996),Comedy,102,1996.0,Mr. Wrong,2.4,5
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,103,1996.0,Unforgettable,3.0,3
104,Happy Gilmore (1996),Comedy,104,1996.0,Happy Gilmore,3.4393939393939394,99
105,"Bridges of Madison County, The (1995)",Drama|Romance,105,1995.0,"Bridges of Madison County, The",3.282608695652174,23
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,106,1994.0,Nobody Loves Me (Keiner liebt mich),4.0,1
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,107,1996.0,Muppet Treasure Island,3.326923076923077,26
108,Catwalk (1996),Documentary,108,1996.0,Catwalk,4.0,1
110,Braveheart (1995),Action|Drama|War,110,1995.0,Braveheart,4.031645569620253,237
111,Taxi Driver (1976),Crime|Drama|Thriller,111,1976.0,Taxi Driver,4.105769230769231,104
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,112,1995.0,Rumble in the Bronx (Hont faan kui),3.5434782608695654,46
113,Before and After (1996),Drama|Mystery,113,1996.0,Before and After,3.3333333333333335,3
116,Anne Frank Remembered (1995),Documentary,116,1995.0,Anne Frank Remembered,3.9,5
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,117,1995.0,"Young Poisoner's Handbook, The",3.0,1
118,If Lucy Fell (1996),Comedy|Romance,118,1996.0,If Lucy Fell,2.5,2
119,"Steal Big, Steal Little (1995)",Comedy,119,1995.0,"Steal Big, Steal Little",3.0,2
121,"Boys of St. Vincent, The (1992)",Drama,121,1992.0,"Boys of St. Vincent, The",4.0,2
122,Boomerang (1992),Comedy|Romance,122,1992.0,Boomerang,2.65625,16
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,123,1994.0,Chungking Express (Chung Hing sam lam),4.375,4
125,Flirting With Disaster (1996),Comedy,125,1996.0,Flirting With Disaster,3.5833333333333335,12
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,126,1994.0,"NeverEnding Story III, The",2.0,7
128,Jupiter's Wife (1994),Documentary,128,1994.0,Jupiter's Wife,3.0,1
129,Pie in the Sky (1996),Comedy|Romance,129,1996.0,Pie in the Sky,2.0,1
132,Jade (1995),Thriller,132,1995.0,Jade,2.8333333333333335,6
135,Down Periscope (1996),Comedy,135,1996.0,Down Periscope,2.9516129032258065,31
137,Man of the Year (1995),Documentary,137,1995.0,Man of the Year,3.0,1
140,Up Close and Personal (1996),Drama|Romance,140,1996.0,Up Close and Personal,3.5,16
141,"Birdcage, The (1996)",Comedy,141,1996.0,"Birdcage, The",3.494186046511628,86
144,"Brothers McMullen, The (1995)",Comedy,144,1995.0,"Brothers McMullen, The",3.3333333333333335,12
